Property Address,Property Name,Property Type,Building Status,Submarket Cluster,Submarket Name,City,State,Zip,County Name,Year Built,Number Of Stories,Year Renovated,Number Of Parking Spaces,Parking Ratio,RBA,Max Building Contiguous Space,Smallest Available Space,Total Available Space (SF),Direct Available Space,Direct Vacant Space,Sublet Available Space,Average Weighted Rent,Percent Leased,Office Space,Building Tax Expenses,Building Operating Expenses,Sublet Services,Direct Services,Leasing Company Name,Leasing Company City State Zip,Leasing Company Phone,Leasing Company Fax,Primary Agent Name,Property Manager Name,Developer Name,Owner Name,Features,Power,Ceiling Ht,Number Of Loading Docks,Drive Ins,Column Spacing,Sprinklers,Number Of Cranes,Construction Material,Rail Lines,Heating,Sewer,Water,Gas,PropertyID,Avg Rent-Direct (Industrial),Avg Rent-Sublet (Industrial),Building Park,Days On Market,Land Area (AC),Land Area (SF),LEED Certified,Latitude,Longitude,Operational Status,Rent/SF/Yr,Rent Type,Star Rating,Typical Floor Size,Zoning,Building Class,Energy Star,Property Location,Proposed Land Use,Rent
1500 Overland Ct,,Industrial,Existing,Yolo County,West Sacramento,West Sacramento,CA,95691,Yolo,1991,1,,62.0,0.59,161941,93887,100,127993,0,0,127993,5.7600,100.0,8850.0,2024 Tax @ $1.1416/sf,2024 Tax @ $1.1416/sf,Modified Gross,,Colliers,,9165633056.0,,Matt Lofrano,Cushman & Wakefield,Hillman Properties,Blackstone Inc.,"24 Hour Access, Conferencing Facility, Courtyard, Fenced Lot, Front Loading, Property Manager on Site, Restaurant, Security System, Signage, Skylights, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Fluorescent Lighting, Monument Signage, Air Conditioning",4000a/277-480v 3p 4w,"25'0""",23.0,"7/12'0""w x 14'0""h",28'w x 56'd,ESFR,,Reinforced Concrete,Southern Pacific Railroad,,City,City,Natural,346884,,5.76,Port Sacramento Ind Park,0,7.99,348044.0,,38.569057,-121.575573,,$5.76,,4,105493,M-2,A,,,,5.76
3370 Enterprise Dr,Bldg 2,Industrial,Existing,Inland Empire East,San Bernardino,Bloomington,CA,92316,San Bernardino,2006,1,,110.0,0.98,112609,112609,112609,112609,112609,0,0,-,100.0,3323.0,2024 Tax @ $2.3008/sf,2024 Tax @ $2.3008/sf,,,EQT Real Estate,,6264297910.0,,Ryan Leslie,,Opus West,EQT Real Estate,"Fenced Lot, Skylights, Storage Space",800-2000a/277-480v 3p 4w,"32'0""",21.0,"2/12'0""w x 14'0""h",52'w x 52'd,ESFR,,Reinforced Concrete,,,,,,887959,,,Enterprise Distribution Center,0,5.76,250906.0,,34.0387288,-117.369919,,$7.25 - 8.86 (Est.),,4,112609,M1,A,,,,8.86
2825 Jurupa St,Hofer Ranch IC Building 100,Industrial,Existing,Inland Empire West,Airport Area,Ontario,CA,91761,San Bernardino,2013,1,,360.0,0.31,612083,612083,612083,612083,612083,612083,0,-,0.0,11765.0,2024 Tax @ $1.0004/sf,2024 Tax @ $1.0004/sf,,,Colliers,,9096122617.0,,Steve Bellitti,,,Link Logistics Real Estate,"Fenced Lot, Security System",4000a/277-480v,"32'0""",102.0,"2/10'0""w x 14'0""h",50'w x 52'd,ESFR,,Masonry,,,,,,6506431,,,Hofer Ranch,0,28.37,1235797.0,,34.0502493,-117.5911559,,$8.11 - 9.91 (Est.),,5,612083,,A,,,,9.91
2380-2388 Williams St,,Industrial,Existing,880 Corridor,San Leandro,San Leandro,CA,94577,Alameda,2017,1,,279.0,1.72,165513,82300,82300,82300,82300,82300,0,15.6000,50.28,,2024 Tax @ $8.3423/sf,2024 Tax @ $8.3423/sf,,Triple Net,CBRE,,5108741926.0,,Michael Barry,Comstock Realty Partners,,Link Logistics Real Estate,"Energy Star Labeled, Yard",800-1600a,"32'0""",36.0,2,50'w x 52'd,ESFR,,,,,,,,9911864,15.6,,Comstock Industrial Center,0,19.16,834610.0,,37.7075964,-122.1867628,,$15.60,,4,161483,IG,A,,,,15.6
31231-31281 Wiegman Rd,,Industrial,Existing,880 Corridor,Hayward/Castro Valley,Hayward,CA,94544,Alameda,1977,1,,114.0,0.46,234000,214000,300,224000,0,0,224000,-,100.0,,2024 Tax @ $0.8520/sf,2024 Tax @ $0.8520/sf,,,,,,,,,,"Andy Kuen-Shian Liu, Che Chen Liu & Shu Fen Liu","24 Hour Access, Conferencing Facility, Courtyard, Fenced Lot, Front Loading, Property Manager on Site, Restaurant, Security System, Wheelchair Accessible, Yard, Reception, Storage Space, Recessed Lighting, Fluorescent Lighting, Monument Signage, Air Conditioning",1200a/480v 3p,"28'0""",13.0,1,40'w x 40'd,Wet,,Reinforced Concrete,,,City,City,,324886,,,Logistics Park,0,10.81,470884.0,,37.6092491,-122.0626583,,$7.98 - 9.75 (Est.),,4,248240,"I, Hayward",A,,,,9.75
2360 Boswell Rd,Salt Creek Industrial – West,Industrial,Existing,South Bay,Chula Vista,Chula Vista,CA,91914,San Diego,1999,1,,109.0,1.39,78350,78350,78350,78350,78350,78350,0,15.6000,0.0,3918.0,2024 Tax @ $1.2154/sf,2024 Tax @ $1.2154/sf,,Triple Net,Intersection,,6195774557.0,,Dan McCarthy,Intersection,,"Meridian Group, Ltd.","24 Hour Access, Fenced Lot",1600a/277-480v 3p,"30'0""",14.0,"2/12'0""w x 12'0""h",50'w,ESFR,,Masonry,,Electric,City,,Natural,386507,15.6,,Salt Creek Industrial,38,4.19,182516.0,,32.654756,-116.964041,,$15.60,,4,78350,M,A,,,,15.6
218 Machlin Ct,Cubework Walnut,Industrial,Existing,San Gabriel Valley,City of Industry,City of Industry,CA,91789,Los Angeles,1999,1,,341.0,1.17,297310,100000,150,170000,0,0,170000,14.4000,100.0,2973.0,2024 Tax @ $0.9720/sf,2024 Tax @ $0.9720/sf,Triple Net,,Cubework,,,,,SB Transportation Svc,The Koll Company,Shan Shen & Ge Lin,"24 Hour Access, Conferencing Facility, Fenced Lot, Front Loading, Mezzanine, Property Manager on Site, Security System, Skylights, Yard, Storage Space, Recessed Lighting, Fluorescent Lighting, Air Conditioning",100-3000a/277-480v 3p 4w,"30'0""",42.0,"1/12'0""w x 14'0""h",50'w x 52'd,ESFR,,Reinforced Concrete,,Yes,City,City,Natural,44605,,14.4,The Plantation,0,13.44,585446.0,,34.0314151,-117.8242748,,$14.40,,4,297310,IDMA,A,,Near E Valley Blvd & N Grand Ave,,14.4
8130 Caliente Rd,Building 3,Industrial,Existing,Inland Empire North,Mojave River Valley,Hesperia,CA,92345,San Bernardino,2023,1,,524.0,0.52,1004400,1004400,1004400,1004400,1004400,1004400,0,-,0.0,,2024 Tax @ $1.4033/sf,2024 Tax @ $1.4033/sf,,,EQT Real Estate,,6264297910.0,,Ryan Leslie,,,EQT Real Estate,"Conferencing Facility, Skylights, Wheelchair Accessible, Air Conditioning",4000a/277-480v,"40'0""",184.0,4,50'w x 56'd,ESFR,,,,,City,City,,12016907,,,Westcore Hesperia Commerce Center,0,27.44,1195286.0,,34.397334,-117.4104836,,$8.57 - 9.50 (Est.),,5,1004400,CIBP,A,,,,9.5
1500 S Raymond Ave,,Industrial,Existing,North County,Fullerton,Fullerton,CA,92831,Orange,2025,1,,281.0,1.77,136218,136218,136218,136218,136218,136218,0,22.2000,0.0,7380.0,2024 Tax @ $2.8787/sf,2024 Tax @ $2.8787/sf,,Triple Net,Cushman & Wakefield,,9499304371.0,,Randy Ellison,,Oltmans Construction Co.,"Rexford Industrial Realty, Inc.","24 Hour Access, Fenced Lot, Mezzanine, Yard, Energy Performance Rating - A, Reception, Car Charging Station, Monument Signage",3000a/277-480v,"36'0""",16.0,1,56'w x 50'd,ESFR,,Reinforced Concrete,,Yes,Yes,Yes,Yes,12788902,22.2,,,0,7.22,314503.0,LEED Certified - Silver,33.8549035,-117.9050824,,$22.20,,4,136218,M-P,A,,,,22.2
3071 E Coronado St,,Industrial,Existing,North County,Anaheim,Anaheim,CA,92806,Orange,2024,1,,139.0,1.32,111957,105173,105173,105173,105173,105173,0,20.1600,6.06,,2024 Tax @ $2.9237/sf,2024 Tax @ $2.9237/sf,,Triple Net,,,,,,,,"Rexford Industrial Realty, Inc.",Fenced Lot,1800-3000a,"32'0""",12.0,2,,ESFR,,Reinforced Concrete,,,,,,12640895,20.16,,,0,4.91,213880.0,,33.8547498,-117.8605971,,$20.16,,4,105173,SP 2015-1,A,,,,20.16
